method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,"French Guiana",4,4,189578,OK,0,102,193,425,1758221251467,1758221251941
getPopulationofCountry,Seychelles,1,1,48029,OK,0,110,199,265,1758221251982,1758221252248
getPopulationofCountry,Canada,1,1,31731367,OK,0,92,176,243,1758221252251,1758221252495
getPopulationofCountry,"Equatorial Guinea",2,2,447039,OK,0,111,203,273,1758221252497,1758221252772
getPopulationofCountry,"Equatorial Guinea",2,2,447039,OK,0,80,164,234,1758221252776,1758221253011
getPopulationofCountry,Tokelau,4,4,1070,OK,0,90,171,238,1758221253015,1758221253254
getPopulationofCountry,Swaziland,1,1,276340,OK,0,88,169,231,1758221253255,1758221253486
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,219,1758221253487,1758221253707
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,164,231,1758221253710,1758221253941
getPopulationofCountry,Palau,4,4,30376,OK,0,84,168,227,1758221253943,1758221254171
getPopulationofCountry,Uganda,4,4,3645095,OK,0,90,172,233,1758221254173,1758221254407
getPopulationofCountry,Uganda,4,4,3645095,OK,0,80,164,233,1758221254409,1758221254643
getPopulationofCountry,Kenya,2,2,7571439,OK,0,91,174,237,1758221254645,1758221254883
getPopulationofCountry,Chad,4,4,1680347,OK,0,84,167,229,1758221254886,1758221255115
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,100,191,269,1758221255118,1758221255388
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,90,171,228,1758221255389,1758221255617
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,163,222,1758221255618,1758221255840
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,0,161,221,1758221255842,1758221256064
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,162,217,1758221256065,1758221256283
getPopulationofCountry,Paraguay,4,4,3988332,OK,0,81,163,224,1758221256286,1758221256511
getPopulationofCountry,Tokelau,4,4,1070,OK,0,80,162,216,1758221256511,1758221256728
getPopulationofCountry,Bhutan,1,1,233433,OK,0,84,166,226,1758221256730,1758221256957
getPopulationofCountry,Guatemala,2,2,6340891,OK,0,92,175,238,1758221256959,1758221257198
getPopulationofCountry,Guatemala,2,2,6340891,OK,0,80,162,224,1758221257199,1758221257424
getPopulationofCountry,Comoros,4,4,361020,OK,0,89,170,224,1758221257424,1758221257650
getPopulationofCountry,Honduras,2,2,3328228,OK,0,91,173,227,1758221257650,1758221257878
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,163,225,1758221257880,1758221258106
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,162,218,1758221258107,1758221258326
getPopulationofCountry,Brazil,3,3,134594036,OK,0,94,177,241,1758221258328,1758221258570
getPopulationofCountry,Peru,5,5,21079844,OK,0,111,203,279,1758221258572,1758221258851
getPopulationofCountry,Peru,5,5,21079844,OK,0,80,163,225,1758221258853,1758221259078
getPopulationofCountry,Tajikistan,3,3,1907246,OK,0,91,174,234,1758221259080,1758221259315
getPopulationofCountry,Poland,4,4,29145131,OK,0,96,179,241,1758221259317,1758221259558
getPopulationofCountry,Togo,5,5,1565638,OK,0,89,171,229,1758221259560,1758221259790
getPopulationofCountry,Peru,2,2,21079844,OK,0,92,175,229,1758221259791,1758221260021
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,163,225,1758221260023,1758221260249
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,162,220,1758221260251,1758221260472
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,163,225,1758221260474,1758221260699
getPopulationofCountry,Guyana,2,2,369776,OK,0,82,165,227,1758221260701,1758221260929
getPopulationofCountry,Guadeloupe,5,5,374575,OK,0,89,171,227,1758221260929,1758221261157
getPopulationofCountry,Guadeloupe,3,3,374575,OK,0,81,163,217,1758221261158,1758221261376
getPopulationofCountry,Nepal,4,4,3989252,OK,0,89,170,224,1758221261376,1758221261601
getPopulationofCountry,Nepal,4,4,3989252,OK,0,80,164,223,1758221261602,1758221261826
getPopulationofCountry,Japan,3,3,100848918,OK,0,94,177,239,1758221261827,1758221262068
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,163,224,1758221262069,1758221262294
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,162,223,1758221262295,1758221262519
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,174,236,1758221262521,1758221262757
getPopulationofCountry,Tajikistan,1,1,1907246,OK,0,91,173,244,1758221262759,1758221263004
getPopulationofCountry,Belgium,5,5,15411242,OK,0,93,175,236,1758221263005,1758221263242
getPopulationofCountry,Belgium,5,5,15411242,OK,0,80,163,224,1758221263244,1758221263468
getPopulationofCountry,Belgium,4,4,15411242,OK,0,92,175,245,1758221263470,1758221263715
getPopulationofCountry,Peru,5,5,21079844,OK,0,80,163,222,1758221263717,1758221263940
getPopulationofCountry,Palau,3,3,30376,OK,0,89,171,231,1758221263941,1758221264173
getPopulationofCountry,Comoros,5,5,361020,OK,0,92,175,231,1758221264173,1758221264404
getPopulationofCountry,Comoros,5,5,361020,OK,0,80,162,223,1758221264406,1758221264629
getPopulationofCountry,Comoros,5,5,361020,OK,0,80,163,221,1758221264630,1758221264852
