method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,"French Guiana",4,4,189578,OK,0,84,169,374,1758222969817,1758222970223
getPopulationofCountry,Seychelles,1,1,48029,OK,0,83,166,229,1758222970239,1758222970468
getPopulationofCountry,Canada,1,1,31731367,OK,0,82,165,228,1758222970472,1758222970700
getPopulationofCountry,"Equatorial Guinea",2,2,447039,OK,0,85,167,240,1758222970703,1758222970944
getPopulationofCountry,"Equatorial Guinea",2,2,447039,OK,0,80,162,228,1758222970947,1758222971176
getPopulationofCountry,Tokelau,4,4,1070,OK,0,80,162,218,1758222971178,1758222971396
getPopulationofCountry,Swaziland,1,1,276340,OK,0,82,164,223,1758222971398,1758222971621
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,229,1758222971624,1758222971854
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,161,216,1758222971855,1758222972071
getPopulationofCountry,Palau,4,4,30376,OK,0,82,164,227,1758222972074,1758222972302
getPopulationofCountry,Uganda,4,4,3645095,OK,0,81,162,221,1758222972304,1758222972526
getPopulationofCountry,Uganda,4,4,3645095,OK,0,80,161,216,1758222972527,1758222972744
getPopulationofCountry,Kenya,2,2,7571439,OK,0,81,163,217,1758222972745,1758222972962
getPopulationofCountry,Chad,4,4,1680347,OK,0,83,165,226,1758222972965,1758222973191
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,84,165,229,1758222973194,1758222973423
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,82,165,225,1758222973426,1758222973651
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,162,223,1758222973654,1758222973877
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,161,217,1758222973878,1758222974096
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,162,222,1758222974098,1758222974321
getPopulationofCountry,Paraguay,4,4,3988332,OK,0,82,164,224,1758222974323,1758222974548
getPopulationofCountry,Tokelau,4,4,1070,OK,0,80,162,223,1758222974550,1758222974773
getPopulationofCountry,Bhutan,1,1,233433,OK,0,82,164,224,1758222974775,1758222975000
getPopulationofCountry,Guatemala,2,2,6340891,OK,0,82,164,225,1758222975002,1758222975227
getPopulationofCountry,Guatemala,2,2,6340891,OK,0,80,162,221,1758222975229,1758222975451
getPopulationofCountry,Comoros,4,4,361020,OK,0,82,164,225,1758222975453,1758222975678
getPopulationofCountry,Honduras,2,2,3328228,OK,0,82,164,223,1758222975681,1758222975905
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,161,221,1758222975907,1758222976130
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,161,219,1758222976130,1758222976350
getPopulationofCountry,Brazil,3,3,134594036,OK,0,83,164,218,1758222976351,1758222976569
getPopulationofCountry,Peru,5,5,21079844,OK,0,84,166,236,1758222976571,1758222976808
getPopulationofCountry,Peru,5,5,21079844,OK,0,80,162,221,1758222976810,1758222977032
getPopulationofCountry,Tajikistan,3,3,1907246,OK,0,82,164,224,1758222977034,1758222977259
getPopulationofCountry,Poland,4,4,29145131,OK,0,81,163,221,1758222977261,1758222977482
getPopulationofCountry,Togo,5,5,1565638,OK,0,80,162,215,1758222977483,1758222977698
getPopulationofCountry,Peru,2,2,21079844,OK,0,82,164,217,1758222977699,1758222977916
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,161,220,1758222977918,1758222978138
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,161,215,1758222978139,1758222978355
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,161,217,1758222978357,1758222978575
getPopulationofCountry,Guyana,2,2,369776,OK,0,82,164,223,1758222978577,1758222978801
getPopulationofCountry,Guadeloupe,5,5,374575,OK,0,83,165,223,1758222978802,1758222979026
getPopulationofCountry,Guadeloupe,3,3,374575,OK,0,82,164,222,1758222979028,1758222979250
getPopulationofCountry,Nepal,4,4,3989252,OK,0,82,164,219,1758222979252,1758222979472
getPopulationofCountry,Nepal,4,4,3989252,OK,0,80,164,224,1758222979474,1758222979698
getPopulationofCountry,Japan,3,3,100848918,OK,0,81,162,217,1758222979701,1758222979919
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,162,215,1758222979920,1758222980135
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,161,214,1758222980136,1758222980351
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,161,215,1758222980352,1758222980567
getPopulationofCountry,Tajikistan,1,1,1907246,OK,0,82,164,228,1758222980573,1758222980801
getPopulationofCountry,Belgium,5,5,15411242,OK,0,83,165,232,1758222980803,1758222981036
getPopulationofCountry,Belgium,5,5,15411242,OK,0,80,163,223,1758222981038,1758222981262
getPopulationofCountry,Belgium,4,4,15411242,OK,0,82,164,234,1758222981265,1758222981500
getPopulationofCountry,Peru,5,5,21079844,OK,0,80,162,215,1758222981501,1758222981717
getPopulationofCountry,Palau,3,3,30376,OK,0,80,162,221,1758222981719,1758222981940
getPopulationofCountry,Comoros,5,5,361020,OK,0,82,164,219,1758222981940,1758222982160
getPopulationofCountry,Comoros,5,5,361020,OK,0,80,162,220,1758222982162,1758222982383
getPopulationofCountry,Comoros,5,5,361020,OK,0,80,162,222,1758222982385,1758222982608
getPopulationofCountry,Comoros,5,5,361020,OK,0,80,160,213,1758222982608,1758222982822
getPopulationofCountry,Bhutan,1,1,233433,OK,0,80,161,219,1758222982823,1758222983042
getPopulationofCountry,Seychelles,1,1,48029,OK,0,80,161,216,1758222983043,1758222983259
getPopulationofCountry,Serbia,2,2,4803355,OK,0,82,163,221,1758222983261,1758222983483
getPopulationofCountry,Seychelles,4,4,48029,OK,0,81,163,222,1758222983484,1758222983707
getPopulationofCountry,Seychelles,4,4,48029,OK,0,80,161,219,1758222983708,1758222983928
getPopulationofCountry,Honduras,1,1,3328228,OK,0,82,163,216,1758222983928,1758222984145
getPopulationofCountry,Serbia,5,5,4803355,OK,0,83,166,225,1758222984146,1758222984372
getPopulationofCountry,Serbia,5,5,4803355,OK,0,80,161,221,1758222984374,1758222984596
getPopulationofCountry,Serbia,5,5,4803355,OK,0,80,161,218,1758222984597,1758222984816
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,161,217,1758222984817,1758222985035
getPopulationofCountry,Romania,4,4,24859223,OK,0,86,168,225,1758222985036,1758222985262
getPopulationofCountry,Romania,4,4,24859223,OK,0,80,161,218,1758222985264,1758222985482
getPopulationofCountry,Bahamas,4,4,357957,OK,0,81,163,222,1758222985484,1758222985706
getPopulationofCountry,Guinea,1,1,4722032,OK,0,82,163,220,1758222985707,1758222985928
getPopulationofCountry,Tunisia,3,3,4896738,OK,0,80,161,218,1758222985929,1758222986147
getPopulationofCountry,Peru,1,1,21079844,OK,0,80,161,214,1758222986148,1758222986362
getPopulationofCountry,Peru,1,1,21079844,OK,0,80,161,213,1758222986362,1758222986576
getPopulationofCountry,Peru,1,1,21079844,OK,0,80,161,218,1758222986578,1758222986797
getPopulationofCountry,Peru,1,1,21079844,OK,0,80,161,213,1758222986797,1758222987011
getPopulationofCountry,Tokelau,3,3,1070,OK,0,81,163,220,1758222987013,1758222987234
getPopulationofCountry,"French Guiana",3,3,189578,OK,0,81,163,219,1758222987235,1758222987455
getPopulationofCountry,"United States",1,1,266998322,OK,0,83,164,222,1758222987456,1758222987678
getPopulationofCountry,Pakistan,1,1,53608445,OK,0,82,163,215,1758222987678,1758222987894
getPopulationofCountry,Pakistan,1,1,53608445,OK,0,80,162,218,1758222987895,1758222988114
getPopulationofCountry,Togo,4,4,1565638,OK,0,82,163,219,1758222988116,1758222988335
getPopulationofCountry,Suriname,1,1,316458,OK,0,80,162,217,1758222988337,1758222988555
getPopulationofCountry,Suriname,1,1,316458,OK,0,80,161,215,1758222988555,1758222988771
getPopulationofCountry,Suriname,1,1,316458,OK,0,80,161,215,1758222988772,1758222988988
getPopulationofCountry,Swaziland,4,4,276340,OK,0,82,163,218,1758222988989,1758222989207
getPopulationofCountry,Suriname,5,5,316458,OK,0,82,163,220,1758222989208,1758222989429
