# Columns: result|ERROR method args Zone:N ServerZone:Z WaitMs ExecMs TurnMs TotalMs [errorType]
3645095 getPopulationofCountry Uganda Zone:4 ServerZone:5 WaitMs:234 ExecMs:10 TurnMs:344 TotalMs:386
7571439 getPopulationofCountry Kenya Zone:1 ServerZone:2 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:120
736951 getPopulationofCountry Gambia Zone:1 ServerZone:2 WaitMs:0 ExecMs:446 TurnMs:529 TotalMs:566
233433 getPopulationofCountry Bhutan Zone:1 ServerZone:2 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:122
7097388 getPopulationofCountry Belarus Zone:2 ServerZone:3 WaitMs:0 ExecMs:2 TurnMs:86 TotalMs:130
5996338 getPopulationofCountry Senegal Zone:1 ServerZone:2 WaitMs:5 ExecMs:5 TurnMs:95 TotalMs:131
7097388 getPopulationofCountry Belarus Zone:2 ServerZone:3 WaitMs:1 ExecMs:0 TurnMs:86 TotalMs:125
7375148 getPopulationofCountry Switzerland Zone:3 ServerZone:4 WaitMs:727 ExecMs:29 TurnMs:842 TotalMs:881
7097388 getPopulationofCountry Belarus Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:87 TotalMs:125
134594036 getPopulationofCountry Brazil Zone:5 ServerZone:1 WaitMs:0 ExecMs:41 TurnMs:124 TotalMs:252
7097388 getPopulationofCountry Belarus Zone:2 ServerZone:3 WaitMs:0 ExecMs:11 TurnMs:96 TotalMs:132
16357414 getPopulationofCountry Thailand Zone:1 ServerZone:2 WaitMs:0 ExecMs:9 TurnMs:92 TotalMs:128
316458 getPopulationofCountry Suriname Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:215
233433 getPopulationofCountry Bhutan Zone:3 ServerZone:4 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:119
316458 getPopulationofCountry Suriname Zone:5 ServerZone:1 WaitMs:0 ExecMs:5 TurnMs:87 TotalMs:213
316458 getPopulationofCountry Suriname Zone:1 ServerZone:2 WaitMs:64 ExecMs:1 TurnMs:149 TotalMs:185
316458 getPopulationofCountry Suriname Zone:1 ServerZone:2 WaitMs:98 ExecMs:2 TurnMs:184 TotalMs:220
316458 getPopulationofCountry Suriname Zone:1 ServerZone:2 WaitMs:124 ExecMs:4 TurnMs:211 TotalMs:247
53608445 getPopulationofCountry Pakistan Zone:1 ServerZone:2 WaitMs:181 ExecMs:1 TurnMs:264 TotalMs:301
53608445 getPopulationofCountry Pakistan Zone:1 ServerZone:2 WaitMs:218 ExecMs:4 TurnMs:305 TotalMs:345
266998322 getPopulationofCountry United States Zone:1 ServerZone:2 WaitMs:0 ExecMs:248 TurnMs:332 TotalMs:369
276340 getPopulationofCountry Swaziland Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:82 TotalMs:118
1565638 getPopulationofCountry Togo Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:120
189578 getPopulationofCountry French Guiana Zone:3 ServerZone:4 WaitMs:0 ExecMs:6 TurnMs:88 TotalMs:125
1070 getPopulationofCountry Tokelau Zone:3 ServerZone:4 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:123
21079844 getPopulationofCountry Peru Zone:1 ServerZone:2 WaitMs:0 ExecMs:0 TurnMs:84 TotalMs:121
21079844 getPopulationofCountry Peru Zone:1 ServerZone:2 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:120
21079844 getPopulationofCountry Peru Zone:1 ServerZone:2 WaitMs:0 ExecMs:2 TurnMs:84 TotalMs:121
21079844 getPopulationofCountry Peru Zone:1 ServerZone:2 WaitMs:0 ExecMs:19 TurnMs:103 TotalMs:139
4896738 getPopulationofCountry Tunisia Zone:3 ServerZone:4 WaitMs:0 ExecMs:2 TurnMs:84 TotalMs:121
4722032 getPopulationofCountry Guinea Zone:1 ServerZone:2 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:121
357957 getPopulationofCountry Bahamas Zone:4 ServerZone:5 WaitMs:0 ExecMs:6 TurnMs:89 TotalMs:125
24859223 getPopulationofCountry Romania Zone:4 ServerZone:5 WaitMs:2 ExecMs:2 TurnMs:87 TotalMs:124
24859223 getPopulationofCountry Romania Zone:4 ServerZone:5 WaitMs:0 ExecMs:50 TurnMs:133 TotalMs:169
4803355 getPopulationofCountry Serbia Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:209
4803355 getPopulationofCountry Serbia Zone:5 ServerZone:1 WaitMs:0 ExecMs:2 TurnMs:84 TotalMs:212
3328228 getPopulationofCountry Honduras Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:121
4803355 getPopulationofCountry Serbia Zone:5 ServerZone:1 WaitMs:0 ExecMs:7 TurnMs:89 TotalMs:218
3328228 getPopulationofCountry Honduras Zone:1 ServerZone:2 WaitMs:0 ExecMs:8 TurnMs:91 TotalMs:128
48029 getPopulationofCountry Seychelles Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:123
48029 getPopulationofCountry Seychelles Zone:4 ServerZone:5 WaitMs:0 ExecMs:6 TurnMs:88 TotalMs:136
4803355 getPopulationofCountry Serbia Zone:2 ServerZone:3 WaitMs:0 ExecMs:3 TurnMs:85 TotalMs:123
361020 getPopulationofCountry Comoros Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:211
48029 getPopulationofCountry Seychelles Zone:1 ServerZone:2 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:124
361020 getPopulationofCountry Comoros Zone:5 ServerZone:1 WaitMs:0 ExecMs:2 TurnMs:84 TotalMs:212
233433 getPopulationofCountry Bhutan Zone:1 ServerZone:2 WaitMs:0 ExecMs:2 TurnMs:85 TotalMs:123
361020 getPopulationofCountry Comoros Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:211
3022187 getPopulationofCountry Benin Zone:2 ServerZone:3 WaitMs:0 ExecMs:0 TurnMs:93 TotalMs:140
361020 getPopulationofCountry Comoros Zone:5 ServerZone:1 WaitMs:0 ExecMs:9 TurnMs:92 TotalMs:218
21079844 getPopulationofCountry Peru Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:212
30376 getPopulationofCountry Palau Zone:3 ServerZone:4 WaitMs:0 ExecMs:7 TurnMs:89 TotalMs:127
15411242 getPopulationofCountry Belgium Zone:5 ServerZone:1 WaitMs:2 ExecMs:7 TurnMs:92 TotalMs:219
15411242 getPopulationofCountry Belgium Zone:5 ServerZone:1 WaitMs:0 ExecMs:31 TurnMs:114 TotalMs:241
15411242 getPopulationofCountry Belgium Zone:4 ServerZone:5 WaitMs:0 ExecMs:36 TurnMs:119 TotalMs:161
1907246 getPopulationofCountry Tajikistan Zone:1 ServerZone:2 WaitMs:0 ExecMs:3 TurnMs:86 TotalMs:125
